"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26"
"Ala_0.0",2714313.56064179,1221394.19840073,1038804.35719157,2408782.26522023,187946.26996229,1955960.69137916,14478160.3536731,2985774.58978062,3809877.31856963,4885637.68156585,12440439.9309275,3074748.79519,3042272.22658787,3764934.61659499,4986070.51741958,3517643.91928718,4942338.27824961,17078776.8057572,27714851.7332799,4590739.97951753,175040.41392761,3528222.88819038,9195364.79547536,7069663.37636847,11762924.9489626,2691146.38228198
"Ala_1.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9904.9213153,0,11.51222983,0,0,0,0,0
"Ala_1.1",218.67040421,10667.1135404,0,406.82873749,0,2798.31261734,173178.61233452,2588.53420597,0,26325.12338658,85226.78598275,0,5349.90234664,0,0,9017.41735175,19000.26017577,125498.9854535,321315.29359683,0,0,7064.57697513,66089.78430878,33535.30005897,73321.58798563,0
"Ala_2.1",812.03782889,763.0802646,0,1853.908743,195.30223804,0,52321.70066907,2109.56592887,0,13189.50977936,48290.20943683,1073.19789836,1700.29039234,907.61426736,0,1054.62776267,3485.24565101,45907.61374124,114683.47585259,1549.00500815,0,0,21041.14048152,8952.3565444,31884.69723887,3030.62041133
"Ala_2.2",0,1203.5228283,0,0,0,0,24017.57754817,1944.22649444,0,5516.72597694,27530.74861848,1442.39784714,1434.77125108,0,1029.94369244,2182.97727988,3168.16365733,41927.16761227,61546.14186451,3789.10642797,0,0,13872.28444284,6779.65335196,23857.99809851,2683.00445353
"Ala_3.2",3615.72258165,10931.81601799,562.87570378,3143.734173,0,0,256495.46116021,9407.31427256,2599.58865013,75449.37318651,231077.49300948,4610.56281318,3626.51788334,3543.78591731,0,5978.80716651,12605.85497069,319024.28715793,560331.19649721,5982.23166608,0,0,149895.86438319,23990.34808681,161234.87762102,10907.42313485
"Asp_0.0",19831877.4599907,22206952.6048997,15200480.927418,92152915.6224717,23513243.9345997,21850704.8647731,38951232.3765087,63176998.8545811,17931817.3440634,16744279.7716089,25413304.050527,33013544.514236,110916009.267253,25294550.2932815,29925973.9582582,102246984.988335,59020617.3509902,36694910.988845,46907734.111954,29569685.5541178,22444460.1193907,32894854.8180377,26007072.8367542,94171729.4956444,15081727.1701725,50351593.0720721
"Asp_1.0",54536.43410997,85211.57423639,53696.42306899,7345369.59521824,108192.02209216,64334.15121083,4753140.63581826,6683534.27635479,52083.1433129,62591.85349913,2676476.04310675,176850.3602581,10223553.8552921,108876.58969882,113817.49551946,9434182.08511113,6574635.72787338,189386.86602527,5069016.68420765,153753.3298266,49979.60024304,157070.89369934,112439.94331869,11907935.5804713,1350115.86695293,5468059.60917652
"Asp_1.1",131665.14859262,189361.52738071,96696.05070418,21548140.5051533,192898.59362385,88952.75471019,15171073.3966822,20275626.5184508,90207.36924387,73107.48905411,8152716.77666588,364942.56275475,28568897.080938,259667.49612351,247407.74830169,27444286.8422675,20045426.4543245,343937.84335593,16494543.6110753,264835.18062601,150487.5902832,401068.05334744,178290.61244387,34710645.1609547,4609861.28989488,16806120.5588813
"Asp_2.1",18542.04807596,37604.44340281,20466.84569381,12030801.9777288,36324.78566953,0,14856420.621464,16261801.4540237,17529.65455992,39391.99522717,8768166.39988513,34188.8697662,15246317.0554948,18420.64425089,0,15430498.5987273,16421807.3130576,99841.28177625,16929387.4872956,8789.38830196,309.2796145,0,61017.30370883,28231881.7189712,4910640.06768632,13830593.7937532
"Asp_2.2",44868.34288459,60301.33783455,31910.92568592,12519773.6620049,61422.03148585,130.6675559,16132308.3337605,17589603.4487437,23434.79631562,52275.69402676,9272614.70168393,44389.32590258,15830974.3489042,43542.10281007,4437.02612073,16184865.327694,17206664.2046598,136866.54374628,17743642.1701452,35510.91174073,11025.86102451,0,73380.08136877,29609028.3502374,5251031.03175025,14292665.7042529
"Asp_3.2",17337.4071184,45736.21814872,11683.82025749,3296968.54542454,24431.79743195,1997.62072992,8346732.03401658,7036061.48728021,13133.07636781,33254.49839255,5005367.21453447,38331.33475071,4399907.41467748,26575.18677888,2951.2668042,4317726.80596841,6972704.592876,85306.30914182,9470837.7785784,27608.40656593,5053.84300046,2979.43116147,54755.65045991,12508690.5740376,2888176.0488345,5888498.53884284
"Asp_3.3",47944.2689083,105472.0231559,41477.91680273,2770799.2466503,87785.42591507,26620.43839256,7336555.27194276,6234996.20744354,57505.52737838,85908.16785285,4088624.65267086,73231.81505776,3801163.90088721,63855.42068474,70242.78444964,3642880.10778376,6151601.12801057,125252.97735559,8150042.86750917,62352.77896369,40949.8325577,64598.97083515,130108.59249725,10729010.6463791,2587178.14628046,5231512.80837443
"Asp_4.3",193794.09614713,408787.13682527,169857.42310461,30621064.6547962,314782.0300687,101179.84563099,56070182.1992358,50977855.9231936,155304.48894931,323595.59378607,36276778.6273353,437587.02939057,38031086.1915895,265774.31981013,143866.33205353,41456420.1002986,52807452.5162356,834462.30480438,64653749.891168,289528.48627856,112446.82415169,159777.13522499,538241.64721657,80536367.2017673,21140026.741543,43215206.8387484
"Glu_0.0",10889965.4515998,12246707.5658505,9593268.72836186,115022936.0659,15248353.1984233,12486857.8261479,54149565.9457138,77082126.481127,10625821.2782157,8728780.76825927,44784461.985677,19450654.1802836,130871609.755708,15248352.9271331,16929274.8614046,118144637.202201,74800873.4472814,19210520.7950276,68077183.5621465,16569076.3506333,13807564.6032733,19930925.629442,14047693.6777257,104577150.256274,39381511.7139596,64115040.6149072
"Glu_1.0",49131.8447678,79105.53365264,58078.16965259,8547217.43437242,126162.32392,30248.88449115,4139344.2619633,6279320.69135959,56113.59474856,66845.65881754,2915984.81015492,129389.46708748,10099564.6759631,82219.30959514,65659.00582783,8883739.32502127,6155141.28531984,185243.77047442,4708158.97788073,92390.98071087,44108.15472228,74592.58482906,114256.86971826,9369408.88529127,2348294.56240425,4954989.04235488
"Glu_1.1",288320.55117818,474889.17712919,201096.84049507,26348553.4881794,360586.17453266,52769.18868057,21256567.6813484,24682261.6519499,178835.592799,356839.47901053,14588844.1767272,749341.15595731,31967317.2439896,431855.8116558,102725.38056086,28571128.6614299,24848961.4202421,910056.39074998,23195964.1155749,444756.41687332,65755.3457632,95279.58908161,641498.53973798,34901577.1989376,11820268.0658462,19534339.599417
"Glu_2.1",146002.74892836,262626.53262873,97255.69689869,12153914.8893941,201729.83513722,0,13621587.4205952,14131213.94356,97454.30791425,198542.26511245,9706960.55774656,356800.15460691,13971133.1012074,231066.04924301,541.75886321,13287511.8676632,14504313.6762528,515423.56624735,15500869.6532266,220684.41071379,1452.59669379,0,328886.68709169,19949657.9117697,7757987.85104744,11309121.8296513
"Glu_2.2",89085.49598186,231751.35706199,54254.02300692,4834319.70763332,110767.49625574,9833.35212301,7922610.17350017,6453127.08415732,56194.87493467,151889.69592343,5827353.47534164,210453.97027997,6054788.5982872,149661.06252226,11127.44128797,5144985.89273253,6504605.51365763,418121.20946514,9370742.54778229,135134.99095022,42949.69065687,27346.00375445,241743.04528191,9360215.62641971,4908758.83684281,5062833.9941315
