"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26"
"Ala_0.0",2400000,1080000,919000,2130000,167000,1730000,12800000,2640000,3370000,4320000,1.1e+07,2720000,2690000,3330000,4410000,3110000,4370000,15100000,24500000,4060000,155000,3120000,8130000,6250000,10400000,2380000
"Ala_1.0",95900,42200,34700,81700,0,57200,547000,106000,125000,170000,436000,102000,107000,128000,167000,131000,175000,627000,1110000,154000,7000,117000,337000,272000,433000,87800
"Ala_1.1",170000,85900,59400,151000,4500,125000,1060000,189000,226000,329000,854000,178000,195000,224000,299000,228000,326000,1180000,2020000,280000,7300,227000,634000,472000,801000,166000
"Ala_2.1",8370,4550,2750,8460,708,3610,94900,10400,10400,26700,82000,9610,10300,11400,13800,11200,17800,94500,195000,14300,0,8370,47500,29300,64800,10300
"Ala_2.2",13500,8410,4840,12900,0,9110,111000,18400,19700,33400,98200,18300,18400,19000,28500,21900,31200,139000,226000,28800,0,19900,66900,47000,90500,17300
"Ala_3.2",4020,10400,772,3570,0,0,242000,9530,3320,71100,218000,5090,4230,4220,1130,6500,13100,3e+05,528000,6840,0,0,141000,24500,153000,10900
"Asp_0.0",16700000,18700000,12800000,77600000,19800000,18400000,32800000,53200000,15100000,14100000,21400000,27800000,93400000,21300000,25200000,86100000,49700000,30900000,39500000,24900000,18900000,27700000,21900000,79300000,12700000,42400000
"Asp_1.0",797000,913000,621000,9740000,982000,882000,5520000,8080000,723000,687000,3240000,1400000,12900000,1050000,1230000,11900000,7830000,1550000,6090000,1250000,892000,1380000,1080000,13700000,1720000,6560000
"Asp_1.1",2040000,2320000,1560000,27300000,2450000,2200000,16700000,23400000,1820000,1690000,9410000,3520000,35100000,2680000,3120000,33300000,22800000,3860000,18600000,3100000,2310000,3540000,2680000,38700000,5390000,19200000
"Asp_2.1",113000,145000,93000,12300000,152000,103000,1.4e+07,15700000,102000,116000,8230000,205000,15700000,147000,147000,15700000,15800000,278000,15900000,162000,109000,163000,184000,27200000,4600000,13300000
"Asp_2.2",289000,336000,219000,13800000,353000,271000,15700000,17700000,244000,253000,9010000,468000,17500000,365000,386000,17600000,17300000,590000,17300000,410000,293000,429000,392000,29700000,5110000,14400000
"Asp_3.2",30400,59300,22500,4660000,41700,14700,9360000,8460000,24600,44600,5580000,59600,6110000,42500,21300,6050000,8400000,112000,10600000,45100,18200,23900,72100,14900000,3200000,7080000
"Asp_3.3",65800,120000,54300,3750000,106000,45100,7890000,7130000,70100,95800,4420000,103000,5010000,86200,92900,4880000,7020000,159000,8750000,88400,59700,92200,146000,12200000,2740000,5940000
"Asp_4.3",175000,369000,153000,27500000,284000,91200,50500000,45900000,141000,292000,32600000,393000,34200000,240000,131000,37200000,47500000,749000,58200000,261000,102000,145000,485000,72700000,1.9e+07,38900000
"Glu_0.0",9070000,10200000,7990000,95800000,12700000,10400000,45100000,64200000,8850000,7270000,37300000,16200000,1.09e+08,12700000,14100000,98400000,62300000,1.6e+07,56700000,13800000,11500000,16600000,11700000,87100000,32800000,53400000
"Glu_1.0",449000,525000,408000,11500000,677000,493000,5510000,8170000,445000,383000,4130000,837000,13400000,640000,689000,11900000,7980000,875000,6510000,698000,554000,809000,622000,11800000,3450000,6570000
"Glu_1.1",1390000,1690000,1180000,34300000,1910000,1360000,23600000,28900000,1270000,1220000,1.7e+07,2680000,40700000,1970000,1870000,36500000,28800000,2790000,26700000,2120000,1510000,2180000,2020000,40400000,14100000,23200000
"Glu_2.1",192000,308000,142000,12800000,271000,63500,13100000,1.4e+07,146000,231000,9340000,438000,14800000,294000,91500,13900000,14300000,584000,14900000,293000,73800,105000,383000,19800000,7490000,11200000
"Glu_2.2",245000,402000,192000,8160000,327000,177000,9500000,8880000,203000,277000,6950000,504000,9950000,367000,239000,8680000,8910000,693000,11100000,373000,222000,291000,450000,12700000,5830000,7030000
"Glu_3.2",590000,1290000,331000,29100000,687000,16600,46100000,41100000,325000,982000,34800000,1400000,32800000,839000,17900,32500000,42900000,2470000,54400000,889000,32500,26500,1580000,57500000,29300000,33400000
"Glu_3.3",31500,62000,0,1300000,39400,0,2050000,1640000,25400,40700,1580000,64700,1610000,52500,25500,1460000,1630000,108000,2600000,48400,29700,32200,69200,2360000,1250000,1280000
"Glu_4.3",40400,78200,26300,631000,49500,25800,1830000,1190000,29000,61700,1450000,85400,747000,57600,32600,715000,1280000,143000,2330000,58100,32200,36400,91200,1720000,1160000,930000
"Glu_4.4",196000,396000,138000,5230000,257000,92400,10900000,8320000,132000,293000,8360000,437000,5900000,296000,118000,5900000,8900000,736000,13300000,301000,107000,143000,485000,11900000,6830000,6650000
"Glu_5.4",3730000,7370000,2770000,42200000,5010000,2480000,98300000,73100000,2860000,5420000,81100000,7930000,46900000,5290000,3340000,47900000,79600000,12800000,1.14e+08,5510000,2820000,4010000,8970000,97800000,72700000,6.1e+07
"Gly_0.0",2380000,970000,1230000,11400000,167000,1610000,17800000,6940000,3080000,2350000,16700000,3450000,14800000,4e+06,4030000,14800000,10300000,7250000,36700000,4060000,199000,2870000,4480000,17200000,17800000,6880000
"Gly_1.1",167000,72600,104000,907000,14200,130000,1550000,530000,240000,183000,1360000,252000,1070000,298000,294000,1110000,812000,554000,3090000,295000,15800,203000,313000,1400000,1470000,551000
"Gly_2.2",22700,8410,10600,113000,0,13900,2e+05,76800,25200,26400,173000,29000,150000,35000,30300,149000,107000,64700,390000,44300,0,23600,42300,193000,187000,75700
"Orn_0.0",6.4e+07,55600000,49700000,2910000,66400000,61600000,9920000,3860000,68700000,47800000,7570000,78200000,5020000,80900000,90700000,4650000,5290000,94400000,16200000,88900000,68400000,91400000,74700000,8310000,5420000,3190000
"Orn_1.1",11800000,9870000,8750000,495000,12300000,11400000,1650000,692000,12700000,8350000,1220000,15800000,832000,15900000,19300000,831000,917000,2e+07,2720000,18400000,12900000,18700000,14400000,1510000,938000,584000
"Orn_2.2",1780000,1580000,1320000,1e+05,1840000,1660000,320000,171000,1850000,1280000,222000,2330000,183000,2390000,2990000,198000,191000,3050000,487000,2710000,1800000,2820000,2260000,414000,205000,152000
"Orn_3.3",295000,678000,187000,51800,355000,171000,282000,153000,265000,368000,117000,491000,109000,399000,294000,154000,161000,851000,260000,469000,196000,282000,648000,535000,214000,197000
"Orn_4.4",52600,175000,29700,32200,69800,28700,74400,48800,52300,102000,33500,115000,33500,63500,35300,84200,56300,211000,76100,81100,25500,32900,160000,125000,62800,46000
"Orn_5.5",430000,2160000,191000,89200,634000,7520,711000,3e+05,302000,1070000,310000,934000,136000,552000,7840,264000,326000,2480000,675000,695000,7610,8930,1810000,1e+06,587000,394000
"Pro_0.0",6460000,3700000,3660000,7090000,1070000,4900000,16700000,9280000,6790000,5710000,9830000,10100000,9290000,1e+07,10500000,9890000,10700000,14600000,20700000,10700000,1440000,9050000,10600000,17800000,11500000,7270000
"Pro_1.1",750000,5e+05,399000,1510000,123000,520000,5550000,2490000,752000,763000,2730000,1240000,1900000,1210000,1110000,2220000,2760000,2060000,5820000,1260000,156000,983000,1450000,4800000,3110000,1890000
"Pro_2.2",151000,178000,68800,619000,19600,54900,3970000,1390000,117000,266000,1940000,259000,791000,203000,132000,918000,1580000,696000,4020000,241000,16100,103000,480000,2760000,2270000,1080000
"Pro_3.3",173000,414000,62000,990000,24100,0,9450000,2940000,92900,574000,4750000,387000,1250000,305000,10100,1570000,3420000,1580000,10100000,288000,0,7280,1070000,5930000,5720000,2380000
"Pro_4.4",36700,91200,12600,155000,8120,2220,1900000,492000,20100,130000,1040000,83900,190000,65900,3550,246000,602000,380000,2180000,64800,0,325,250000,1030000,1200000,404000
"Pro_5.5",511000,1420000,140000,1710000,57000,0,23600000,6030000,240000,1880000,13700000,1120000,2040000,871000,581,2750000,7410000,5360000,27500000,886000,2320,91.3,3340000,12500000,16300000,5140000
"Ser_0.0",5430000,2740000,4650000,4450000,6450000,5740000,8030000,7350000,7110000,2170000,6970000,7010000,4980000,7900000,11900000,5430000,11300000,7060000,15500000,8220000,7440000,9180000,3780000,13200000,6530000,5350000
"Ser_1.1",487000,254000,392000,410000,583000,483000,760000,669000,643000,203000,620000,620000,436000,711000,1070000,490000,1010000,630000,1460000,708000,678000,823000,339000,1180000,651000,492000
"Ser_2.2",60600,30400,52300,55100,73600,62400,106000,88400,80200,26300,84600,78700,70000,86200,135000,65000,137000,79300,194000,97600,85500,103000,44100,157000,90600,61100
