"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26"
"Ala_0.0",2627969.64814104,1182494.46099094,1006378.64313496,2332361.71848246,182498.61968502,1894342.00453445,14013772.0344989,2890742.51068887,3690358.09626271,4730127.11529282,12044093.3690254,2978605.62718406,2945475.70742537,3646497.36278044,4829149.87864168,3405255.08376025,4784914.5213026,16532853.3638592,26822639.6493248,4445829.28003468,169730.74621855,3416382.80599917,8901483.31563452,6843109.85217212,11386982.2291942,2606182.82507643
"Ala_1.0",15457.48993461,5894.50551512,3683.92342037,9931.00898378,0,0,121292.60895781,17555.60674859,11022.51813226,24809.030911,66488.98939184,10109.90088903,16776.43491279,15842.55483116,18213.08049795,27478.29021816,28546.49771424,123012.9612588,301759.86282835,17033.46300611,1873.75294808,11632.68807573,65620.66234582,64822.54619675,85999.69163828,7224.6386123
"Ala_1.1",57621.65963827,36327.64313655,15762.18747723,51313.52548362,0,44209.9613146,476337.80839651,65615.25803582,66930.59354283,129053.76307252,346191.17188607,49094.56516418,69548.7624917,66853.92039878,91170.13989184,83235.24488734,123154.66494555,483870.31752762,901470.72200825,89100.78303491,0,81654.33621361,259263.93257556,182426.82366513,320391.89530404,54263.7836615
"Ala_2.1",2029.92933923,1289.28014341,613.77691019,3135.316678,370.2062073,0,54275.05306845,3345.78677129,2399.90570416,14491.0102866,50958.02723047,3351.06653134,3163.22839595,3336.51347269,3109.69500316,2331.80008072,5776.86236313,47875.97243093,114259.9946935,4328.40650445,0,78.53210478,22535.9148394,11022.2339652,34244.46165023,4591.41757999
"Ala_2.2",0,1357.23398834,0,0,0,0,25129.70328836,2235.97496703,0,5633.74658665,27747.66565745,2539.29418353,1817.56157142,0,2314.07372527,2643.91154473,3840.03850348,42343.49007521,63002.08252804,4673.08042864,0,468.13726214,14225.43268931,7771.92863971,24559.52315067,3026.83662147
"Ala_3.2",3769.80210516,11309.98334313,608.45132226,3311.7373522,0,0,265312.41080905,9782.08291643,2789.93794565,78047.0633408,239188.18604486,4817.18610596,3818.3496014,3735.36529397,0,6229.40981176,13137.91608846,329949.92269939,579500.47864066,6302.26183744,0,0,154973.97483958,24937.8284295,166911.97435148,11361.024532
"Asp_0.0",18986485.127571,21259672.3033423,14552440.8813447,87953008.4690849,22510139.369004,20919737.0955449,37102663.3475228,60229458.580417,17167673.9383315,16030719.4810117,24228226.7622965,31603975.4152361,105821853.675087,24215012.194714,28649462.7314231,97540346.1453003,56253168.1681256,35128848.0318019,44705061.5912953,28307807.2358943,21487793.0822515,31490079.3928504,24897994.4655138,89715957.3753776,14382942.036796,47994835.6927247
"Asp_1.0",260592.22962379,315236.22255707,211303.96027101,8023536.03564935,351380.22706979,291794.32649376,4905507.39233325,7031589.84761078,238330.4568175,235966.99208397,2794727.97055062,517898.38371029,11001086.5098682,370856.3749482,424955.1926476,10136895.7292869,6880056.27148929,568018.90464221,5276846.44776625,459552.07372787,283647.12010425,499314.11127689,381380.30659022,12343238.556731,1428546.48661892,5733576.58519703
"Asp_1.1",750028.58812057,880480.50721279,570730.58908488,23584215.2795673,924908.47208334,772846.88757249,15583857.2224935,21289473.874607,650313.19120243,595543.13430753,8495403.33365259,1391576.48099145,30937174.5164196,1046607.98457106,1181223.83291808,29557083.3000464,20940050.6910911,1484099.9720114,17074728.8876138,1186072.95858141,851275.97671033,1425499.4033038,988428.08995983,36013542.840272,4826436.30751664,17585524.3941891
"Asp_2.1",28159.67475734,49085.48203662,28202.96053011,12445307.1864918,49435.07509779,7834.25187839,15000491.0807272,16552771.7748057,26054.61190223,47259.55940583,8840776.78249485,54357.28793883,15807637.9957501,32854.74212182,11276.87582907,15953865.1310532,16707054.2484572,120474.25850377,17076022.6982705,26188.77319293,11143.90280964,7002.31359084,74366.25953873,28727981.2947983,4945809.76993205,14067344.1394337
